model,shape,size,svc_ns
lat,4x16x16,1024,20388902
lat,4x16x2,128,20175150
lat,4x16x4,256,20205686
lat,4x16x8,512,20266758
lat,4x2x10,80,4092062
lat,4x2x12,96,3702286
lat,4x2x14,112,3276453
lat,4x2x16,128,3193221
lat,4x2x2,16,4389712
lat,4x2x4,32,4498951
lat,4x2x6,48,4134924
lat,4x2x8,64,4574197
lat,4x4x10,160,4983917
lat,4x4x12,192,4953223
lat,4x4x14,224,4935849
lat,4x4x16,256,5030381
lat,4x4x2,32,5044738
lat,4x4x4,64,5086498
lat,4x4x6,96,4916667
lat,4x4x8,128,5170018
lat,4x8x16,512,9988313
lat,4x8x2,64,9730265
lat,4x8x4,128,9767129
lat,4x8x6,192,9633242
lat,4x8x8,256,9840857
lat,6x16x10,960,24782142
lat,6x16x12,1152,24811838
lat,6x16x14,1344,24841534
lat,6x16x16,1536,25167630
lat,6x16x2,192,24959758
lat,6x16x6,576,24722750
lat,6x16x8,768,25048846
lat,6x2x10,120,4711085
lat,6x2x12,144,4172863
lat,6x2x14,168,3637631
lat,6x2x16,192,3534787
lat,6x2x2,24,5168555
lat,6x2x4,48,5229887
lat,6x2x6,72,4765398
lat,6x2x8,96,5285521
lat,6x4x10,240,5920849
lat,6x4x2,48,6030649
lat,6x4x4,96,6050023
lat,6x4x6,144,5866481
lat,6x4x8,192,6122200
lat,6x8x12,576,11985716
lat,6x8x14,672,12020948
lat,6x8x16,768,12227904
lat,6x8x2,96,11981280
lat,6x8x4,192,12016512
lat,8x16x10,1280,19954554
lat,8x16x12,1536,19983858
lat,8x16x14,1792,20013162
lat,8x16x16,2048,20339058
lat,8x16x2,256,20133930
lat,8x16x4,512,20163234
lat,8x16x6,768,19895946
lat,8x16x8,1024,20221842
lat,8x2x10,160,4916835
lat,8x2x12,192,4164353
lat,8x2x14,224,3443621
lat,8x2x16,256,3283995
lat,8x2x2,32,5512009
lat,8x2x4,64,5583161
lat,8x2x6,96,5017268
lat,8x2x8,128,5698147
lat,8x4x16,512,5178188
lat,8x4x2,64,5967060
lat,8x4x4,128,6049740
lat,8x4x6,192,5726770
lat,8x4x8,256,6192652
lat,8x8x10,640,9724693
lat,8x8x12,768,9759125
lat,8x8x14,896,9793557
lat,8x8x16,1024,9910887
lat,8x8x2,128,9772793
lat,8x8x4,256,9807225
lat,8x8x8,512,9876089
